Словоформа,Частота_ipm,Капитализация
вернутся,5.3,lower
вернуть,30.6,lower
вернуться,49.6,lower
верные,5.0,lower
верный,12.5,lower
верным,7.2,lower
верных,5.0,lower
верой,9.3,lower
Верочка,5.2,upper
вероятно,55.9,lower
Вероятно,24.1,upper
вероятности,10.9,lower
вероятность,14.1,lower
версии,20.0,lower
версию,10.2,lower
версия,13.4,lower
верст,6.9,lower
вертикали,6.0,lower
вертикально,5.2,lower
вертолет,9.2,lower
вертолета,7.5,lower
вертолетов,6.8,lower
веру,20.9,lower
Веру,5.4,upper
верующих,7.3,lower
верх,11.0,lower
верхнего,6.5,lower
верхней,23.4,lower
верхнем,5.8,lower
верхний,8.8,lower
верхних,8.0,lower
верхнюю,8.3,lower
верхняя,5.8,lower
Верховного,24.0,upper
Верховный,10.1,upper
верхом,10.6,lower
вершин,5.0,lower
вершина,6.9,lower
вершине,15.9,lower
вершиной,6.9,lower
вершину,6.2,lower
вершины,14.2,lower
веры,26.8,lower
Веры,8.7,upper
верю,32.4,lower
веря,7.0,lower
верят,11.7,lower
вес,25.0,lower
веса,11.5,lower
веселая,7.9,lower
веселее,5.5,lower
весело,56.8,lower
веселой,7.1,lower
веселые,9.7,lower
веселый,14.5,lower
веселым,7.5,lower
веселье,6.4,lower
весна,14.5,lower
Весна,5.7,upper
весне,6.5,lower
весной,31.4,lower
Весной,9.4,upper
весну,5.8,lower
весны,14.8,lower
весом,9.2,lower
вести,68.4,lower
весть,12.5,lower
весь,250.5,lower
Весь,36.1,upper
весьма,150.9,lower
Весьма,8.2,upper
ветвей,7.4,lower
ветви,12.5,lower
ветер,52.3,lower
Ветер,15.3,upper
ветеранов,10.8,lower
ветерок,5.9,lower
ветки,12.3,lower
ветку,5.7,lower
ветра,24.7,lower
ветром,18.5,lower
ветру,14.5,lower
вечер,92.9,lower
Вечер,6.4,upper
вечера,61.4,lower
вечерам,13.8,lower
вечерами,7.4,lower
вечере,7.2,lower
вечерней,5.3,lower
вечеров,5.5,lower
вечером,85.4,lower
Вечером,27.5,upper
вечеру,21.5,lower
вечная,7.2,lower
вечно,33.7,lower
вечного,6.3,lower
вечное,7.4,lower
вечной,15.2,lower
вечности,9.0,lower
вечность,9.9,lower
вечную,5.5,lower
вечные,5.8,lower
вечный,9.0,lower
вечным,5.0,lower
вещами,12.0,lower
вещах,11.1,lower
вещей,48.5,lower
веществ,26.1,lower
вещества,25.1,lower
вещество,9.8,lower
вещи,108.2,lower
вещь,48.8,lower
взаимно,5.2,lower
взаимного,5.5,lower
взаимной,7.2,lower
взаимодействие,15.0,lower
взаимодействии,7.5,lower
взаимодействия,34.4,lower
взаимоотношений,13.1,lower
взаимоотношения,9.7,lower
взаимоотношениях,5.5,lower
взаимосвязи,5.5,lower
взамен,11.2,lower
взвод,5.6,lower
взвода,7.9,lower
взгляд,161.5,lower
Взгляд,7.5,upper
взгляда,24.8,lower
взглядами,8.3,lower
взгляде,9.0,lower
взглядов,14.8,lower
взглядом,61.3,lower
взгляды,25.4,lower
взглянув,8.9,lower
взглянул,25.9,lower
взглянула,10.7,lower
взглянуть,15.1,lower
вздох,5.6,lower
вздохнул,51.5,lower
вздохнула,23.4,lower
вздохом,8.2,lower
вздрогнул,11.9,lower
вздрогнула,6.4,lower
вздыхает,6.2,lower
взносов,6.2,lower
взносы,5.1,lower
взор,6.6,lower
взором,7.7,lower
взрослого,7.7,lower
взрослые,16.9,lower
взрослый,9.6,lower
взрослым,8.8,lower
взрослыми,5.0,lower
взрослых,24.5,lower
взрыв,16.5,lower
взрыва,13.7,lower
взрывов,5.5,lower
взрывы,6.3,lower
взыскания,5.2,lower
взяв,12.1,lower
взял,131.9,lower
Взял,7.4,upper
взяла,47.9,lower
взялась,8.8,lower
взяли,48.5,lower
взялись,10.2,lower
взялся,21.7,lower
взят,5.9,lower
взятки,9.7,lower
взятые,5.0,lower
взятых,5.1,lower
взять,100.3,lower
Взять,8.8,upper
взяться,8.0,lower
вид,118.9,lower
Вид,7.9,upper
вида,51.3,lower
видал,5.5,lower
видам,9.1,lower
видами,9.7,lower
видать,17.9,lower
видах,7.5,lower
виде,156.3,lower
видел,205.8,lower
Видел,7.1,upper
видела,67.5,lower
видели,66.4,lower
виделись,10.9,lower
виден,12.5,lower
видение,10.5,lower
видения,8.5,lower
видео,6.4,lower
видеть,93.4,lower
видим,32.8,lower
видимо,95.1,lower
Видимо,41.6,upper
видимости,12.5,lower
видимость,6.0,lower
видит,59.6,lower
видите,36.8,lower
Видите,13.4,upper
видится,7.0,lower
видишь,42.1,lower
Видишь,16.1,upper
видна,11.9,lower
виднелись,5.6,lower
видно,136.4,lower
Видно,17.8,upper
видны,16.6,lower
видов,60.6,lower
видом,42.6,lower
виду,120.9,lower
виды,33.5,lower
видя,19.6,lower
видят,23.8,lower
вижу,92.3,lower
Вижу,10.4,upper
визит,13.5,lower
визита,16.3,lower
визитом,6.3,lower
Вика,13.1,upper
Виктор,89.4,upper
Виктора,25.2,upper
Виктория,9.9,upper
Викторович,11.6,upper
Виктором,5.0,upper
Виктору,6.4,upper
вина,40.3,lower
вине,10.1,lower
вино,28.7,lower
виноват,32.6,lower
виновата,10.9,lower
виновато,11.1,lower
виноваты,10.7,lower
вином,9.5,lower
винтовки,5.5,lower
винтовку,5.0,lower
вину,16.1,lower
вины,16.7,lower
вирус,11.8,lower
вируса,48.3,lower
вирусных,7.7,lower
вирусов,18.3,lower
вирусом,8.2,lower
вирусы,6.4,lower
висел,13.3,lower
висела,12.0,lower
висели,11.4,lower
висело,5.3,lower
висит,15.3,lower
виски,13.7,lower
висят,6.0,lower
Виталий,14.8,upper
витрины,5.1,lower
Витька,10.4,upper
Витя,17.7,upper
вице-президент,7.5,lower
вице-премьер,6.3,lower
ВИЧ,12.0,upper
вклад,21.9,lower
вклада,5.6,lower
вкладывать,6.3,lower
включает,26.3,lower
включается,5.1,lower
включать,10.0,lower
включают,6.5,lower
включая,58.5,lower
включение,5.0,lower
включения,8.3,lower
включены,7.4,lower
включил,13.8,lower
включили,5.3,lower
включить,11.8,lower
вконец,5.2,lower
ВКП,6.8,upper
вкус,31.7,lower
вкуса,11.2,lower
вкусно,8.4,lower
вкусом,10.8,lower
вкусу,10.0,lower
влаги,6.4,lower
владеет,10.2,lower
владел,6.1,lower
владелец,12.3,lower
владельца,10.4,lower
владельцев,11.4,lower
владельцем,5.2,lower
владельцы,8.2,lower
владение,5.9,lower
владения,7.6,lower
владеть,6.0,lower
Владимир,122.4,upper
Владимира,42.8,upper
Владимирович,16.7,upper
Владимировна,11.6,upper
Владимиром,9.9,upper
Владимиру,9.0,upper
Владислав,5.4,upper
Владыка,7.2,upper
властей,28.0,lower
власти,246.0,lower
Власти,5.1,upper
власть,103.5,lower
Власть,8.5,upper
властью,23.7,lower
властям,9.9,lower
властями,9.7,lower
влево,12.3,lower
влез,6.4,lower
влечет,15.2,lower
влияет,13.0,lower
влияние,48.7,lower
Влияние,5.5,upper
влиянием,17.6,lower
влияния,33.2,lower
влиять,8.3,lower
влияют,7.0,lower
вложений,5.4,lower
вложил,5.9,lower
вложить,6.1,lower
влюбился,7.2,lower
влюблен,7.3,lower
вместе,363.6,lower
Вместе,51.1,upper
вместо,124.5,lower
Вместо,31.3,upper
вмешался,6.9,lower
вмешательства,8.4,lower
вмешательство,7.2,lower
вмешиваться,7.0,lower
ВМС,7.5,upper
вначале,20.9,lower
Вначале,12.0,upper
вне,56.0,lower
внедрение,9.6,lower
внедрения,9.8,lower
внезапно,44.2,lower
Внезапно,10.0,upper
внес,8.0,lower
внесении,7.5,lower
внесения,7.2,lower
внесли,7.3,lower
внести,15.3,lower
внешне,19.1,lower
Внешне,5.2,upper
внешнего,16.6,lower
внешнее,6.0,lower
внешней,34.1,lower
внешнем,5.4,lower
внешнему,5.0,lower
внешние,9.9,lower
внешний,13.0,lower
внешним,10.7,lower
внешних,18.6,lower
внешности,8.0,lower
внешность,9.4,lower
внешностью,5.6,lower
внешнюю,5.5,lower
внешняя,6.3,lower
вниз,99.0,lower
внизу,37.7,lower
Внизу,8.8,upper
внимание,159.6,lower
Внимание,7.6,upper
вниманием,14.8,lower
внимания,97.7,lower
внимательно,63.8,lower
вновь,124.0,lower
Вновь,6.4,upper
вносит,6.3,lower
вносить,6.1,lower
внук,8.1,lower
внука,6.5,lower
внуки,6.5,lower
внуков,6.4,lower
внутренне,11.9,lower
внутреннего,28.5,lower
внутреннее,11.3,lower
внутренней,35.8,lower
внутреннем,9.4,lower
внутренние,15.9,lower
внутренний,21.8,lower
внутренним,10.9,lower
внутренних,43.9,lower
внутреннюю,10.0,lower
внутренняя,11.3,lower
внутри,93.4,lower
Внутри,10.5,upper
внутрь,26.7,lower
внучка,5.7,lower
внятно,6.0,lower
во,1006.3,lower
Во,168.9,upper
Вова,6.4,upper
Вовка,12.4,upper
вовремя,37.1,lower
вовсе,141.9,lower
вовсю,11.9,lower
во-вторых,37.4,lower
Во-вторых,35.0,upper
вод,13.1,lower
вода,68.5,lower
Вода,12.4,upper
водах,5.3,lower
воде,56.4,lower
водил,6.6,lower
водителей,5.9,lower
водителем,5.1,lower
водитель,19.7,lower
Водитель,7.3,upper
водителю,5.2,lower
водителя,14.1,lower
водится,9.0,lower
водить,7.1,lower
водка,11.5,lower
водки,38.1,lower
водкой,11.0,lower
водку,24.7,lower
водного,5.2,lower
водных,11.7,lower
водой,67.5,lower
водорода,6.2,lower
воду,93.5,lower
воды,157.7,lower
воевал,8.4,lower
воевали,5.2,lower
воевать,13.3,lower
воедино,6.4,lower
военная,12.8,lower
военного,41.8,lower
военное,11.6,lower
военной,58.9,lower
военном,9.5,lower
военнослужащих,17.1,lower
военную,15.9,lower
военные,34.0,lower
военный,25.5,lower
военным,15.3,lower
военными,6.8,lower
военных,58.8,lower
вождей,5.9,lower
вождь,8.1,lower
вождя,12.2,lower
возбуждение,5.7,lower
возбуждения,8.5,lower
возбуждено,5.0,lower
возврата,8.3,lower
возвращается,21.8,lower
возвращалась,6.9,lower
возвращались,11.8,lower
возвращался,18.0,lower
возвращаться,21.3,lower
возвращаются,8.4,lower
возвращаясь,9.0,lower
возвращение,12.7,lower
возвращении,12.5,lower
возвращения,19.7,lower
возглавил,8.9,lower
возглавить,5.0,lower
возглавляет,6.2,lower
возглавлял,8.6,lower
воздействие,17.0,lower
воздействием,8.2,lower
воздействия,27.8,lower
воздух,70.5,lower
Воздух,5.6,upper
воздуха,46.3,lower
воздухе,50.7,lower
воздухом,12.5,lower
воздуху,6.1,lower
воздушного,11.3,lower
воздушной,7.4,lower
воздушные,5.2,lower
воздушный,6.5,lower
воздушных,11.2,lower
возить,6.0,lower
возиться,5.4,lower
возле,98.5,lower
Возле,13.0,upper
возмещения,6.3,lower
возможен,8.5,lower
возможна,9.1,lower
возможно,136.9,lower
Возможно,64.0,upper
возможного,9.6,lower
возможное,9.3,lower
возможной,9.8,lower
возможностей,37.5,lower
возможности,144.6,lower
возможность,187.9,lower
Возможность,5.1,upper
возможностью,10.2,lower
возможностями,9.9,lower
возможностях,6.2,lower
возможны,10.1,lower
возможные,13.7,lower
возможным,23.3,lower
возможных,22.6,lower
возмутилась,6.4,lower
возмутился,10.7,lower
возмущение,5.1,lower
возмущенно,5.1,lower
вознаграждение,5.7,lower
вознаграждения,5.6,lower
возник,22.8,lower
возникает,52.5,lower
Возникает,5.5,upper
возникали,10.2,lower
возникало,9.0,lower
возникают,22.5,lower
возникающие,6.7,lower
возникающих,6.2,lower
возникла,26.6,lower
возникли,15.5,lower
возникло,17.6,lower
возникнет,7.0,lower
возникновение,6.3,lower
возникновения,17.0,lower
возникнуть,11.7,lower
возражал,7.3,lower
возражать,6.1,lower
возражений,6.1,lower
возражения,6.4,lower
возразил,18.3,lower
возразила,6.3,lower
